,comments
0,very standard b+
1,lmao good to know I'm not alone. I was so fucked because I studied hard for the last few chapters but they pulled out so many shit from the first few chapters. I walked out confident but I guess I made too many mistakes. My grade tanked from 89 to 72 and I'm just praying it's going up to a B- haha
2,"Not bragging, but I've had constant 84s in past two exams and finals says I got 40%. I'm like actually confused, but I'm ready to accept that I'm retarded if they didn't make a mistake."
3,Dude holy shit I feel you. All there's left to do is bank on the curve because damn that went awfully
4,nah I feel the same way. I definitely thought I got more right
5,"Loved 261! Got an A in 1987. Failed Physics 152 the same semester...😆.
Don't worry ya'll, the secret is to...JUST. KEEP. GOING!!!! You can do it!"
6,"Did not get a 70, that would have been nice"
7,I have a 64 in that class right now...fml
8,"Make sure you know how to integrate. I know that may seem obvious but on the last exam, we were kind of told we didn’t have to solve actual integrals but we did. 

Other than that, make sure you actually understand the homework and aren’t just breezing through it. It’s ok if you don’t understand stuff right away but make time to review the material (namely the homework), which’ll be especially helpful for recitation quizzes. 

As long as you give yourself enough time, you’ll most likely be fine!"
9,"It’s not bad. It’s what you’ve already learned but in 3D and adding vectors. Vector calc can get a little hairy, but you can get a fairly decent grasp of it if you seriously take the time to understand the intuition rather than memorizing formulas. Watch the 3B1B videos.

It’s also incredibly useful if you continue with MechE/aero/fluids classes. Take the time to understand the material, your future self will thank you for it."
10,oh gosh yeah that jump is going to be painful...
11,if you fail calc 3 just take it again next semester and whatever you get will replace the grade in your gpa calculation. you shouldn’t be too worried about it cuz you’re already two semesters ahead in math so having to retake that class next semester shouldn’t affect your eligibility of getting into your engineering major as long as your gpa is decent (I think they say to aim above a 3.2 depending on the major). someone correct me if i’m wrong tho
12,I had a really good experience with [https://greatapetutoring.com/](https://greatapetutoring.com/) with calc.
13,"Evan Wang is a good tutor, a bit pricy but the best I've had"
14,I emailed Toms and he had said potential functions were introduced earlier (previous week or so I can't find the email right now) so they were fair game.
15,"Grade just posted. I got a 45/100. Yikes, better rev up those fryers."
16,"You don't focus on numbers; you focus purely on the logic in a more formalized setting.

In MA 261, you have your formulas and methodologies.. run numbers through them.. boom, you have a number. Not particularly difficult.

In real analysis (and other upper division math courses), you piece together various theorems, lemmas, etc. to create a logically-sound proof that addresses the question at hand. Rote memorization will only take you so far in these courses, as opposed to in calculus/linear algebra. 

I'd suggest taking a look at baby Rudin or Bartle to get a feel for what upper division math really is."
17,"Honestly, how bad real analysis can it be? (I haven't even taken it yet)"
18,"Lesson learned, if a prof says something isn't necessary for the exam, study the shit out if it. It's not just Chen that does that."
19,Sounds like we got a repeat of Fall of 2001. Hard exams are not new at Purdue.
20,"This is so relaxing to read as a graduate. It's like watching people on Survivor going through all these insane challenges and you're chilling at home in a blanket with coco. 

But yes good luck and it'll be okay."
21,That one screwed me over for 10 minutes. I was like wtf how do I draw this shit
22,Who thought it would be a good idea to include that one volume problem that was ass-sideways.
23,"lmao same, i chose the right exam to not study for lol"
24,Good thing I didn’t study sounds like it would’ve been a futile effort
25,"Don’t worry young lads, you will make it out alive. Keep working hard"
26,"But seriously what was that exam, there were like 4 questions I could sort of set up but had no idea how to solve and basically hacked my way to some super sketchy answers."
27,i was feeling so confident after studying and legit a third of the exam was stuff i hadn’t seen in the practice exams
28,"I wasn’t trying to throw shade at anyone.  I was just commenting that it’s nice you guys can, and do, commiserate online after an exam.

Jesus."
29,This must be nice.  Back in my day you just had the long walk back to the dorm to silently loathe yourself and maybe someone on your floor to ask when they got back.  If they were a dumbass you had no gage.
30,sorry for the pain but i love these posts because they make me feel better about how bad my exam season went last week
31,right there with you homie
32,I went in feeling good since I did fairly well on the past exams. After the test I felt like I had been through one of those mortal combat finishers.
33,Curves are based off of the recitation average ( average of all your TA’s recitation) you should know next recitation
34,"Look, the best advice I can give you: as long as you’re above the average, you’re fine. It’s really tough to gage grade cutoffs in math at Purdue, they change every year so don’t bother."
35,i heard this one was the easy one :(
36,I hope that the next midterm is easy
37,I did shit. 68%. My grade dropped a whole 18% 🤡
38,"If you didn't put the correct ID number, your exam grade will be sent to your TA a couple days later than everyone else."
39,It happens. It happened to me on one of the 261 midterms. Just pick yourself up and ace the next one out of spite.
40,"Practice being OK with not knowing how to do a particular question. Messing up one question is no big deal. Wasting time trying to fix one question and missing three easy errors elsewhere on the exam is a huge deal and is easily preventable.

IMO focusing on the *technique* of taking an exam is a lot more important than drilling the preparation in the last 24-48h. 

I guess boilerexams is cool too."
41,"Check out Liam Robinson on YouTube, aside from that, get a good night's sleep the night prior to the exam"
42,"Do every possible prob from past midterms and finals. You start to notice the problem types and patterns. Since you're are starting early enough, you can pace yourself"
43,"Holy shit dude how did I not know this website existed, it has practice exams for every single one of my classes. Thank you."
44,"I know right, I don’t know why more professors don’t just tell everyone to stay home and watch his lectures online, and then come to recitation with questions if they have them."
45,"You 100% did the right thing to skip calc 2, literal hellscape. I second everyone’s suggestions about dr. Chen’s lectures, and SI genuinely helped a ton, Ik it’s annoying to go but I promise you’ll do fine if you consistently go to SI."
46,"TLDR: The only notes I usually take are formulas and general concepts. Also I often don’t understand lectures the first time (even with Chenflix sometimes) but after the homework and looking at the step-by-step example I usually get it

For notes I usually just write down the main formulas/techniques for solving problems. Sometimes I’ll also include an example the professor does in case I want to refer to it later (although with recorded lectures I don’t do this that much). So like I’d write what the notation for a 3D vector is and how to find the cross product, and that when the cross product is 0 the vectors are parallel and stuff like that. 

I think it’s completely normal to feel a bit lost after a lecture (and that’s not just for math too); I usually only have a partial understanding of the concepts but after I do the homework it makes more sense. I might be an outlier but I kind of like MyLabMath in that for some homework questions, they show an example with step by step instructions for how to do the problem which helps tremendously with figuring out how to do stuff.

Also you absolutely did the right thing skipping Calc 2. It starts off alright but quickly becomes a lot of work and having that as your first math class would be awful. Just keep your head up, give yourself time to do the homework and learn stuff (and don’t hesitate to get help when you need it), and you’ll be fine."
47,Here’s the GroupMe link https://groupme.com/join_group/70101951/mrDWv1Yo hang in there you’ll make it I like to redo the homework until I actually understand it because my lab math will give you different numbers for the problem each time also using the show an example on MLM is very helpful.
48,"Our lord and savior Dr. Chen’s lecture videos will help tremendously. I can promise you as someone who’s taken every level of calc at Purdue, if you’re struggling in 261 you would have hated your life in calc 2, and taking it wouldn’t have done you any good in calc 3."
49,"I also highly recommend going to SI sessions, they do practice problems and then walk through them, it can be super helpful."
50,"https://www.math.purdue.edu/~chenjk/

Live long and prosper, bud. I promise you did the right thing by taking the credit, I felt lost in literally every semester of calc at this school."
51,I just used Kaufmann's lecture time to work on problems from past exams. MyLabMath homework would also be a good use of the time.
52,">shit

i feel u bro, its really fucking convenient for them to do that shit"
53,Bruh I have to pay $380 for online fucking platforms this semester fuck this shit fuck this shit fuck this shit
54,He frequently makes mistakes without realizing it until after the lectures and has to send out corrected notes. He isn’t great at explaining basic concepts. He over complicated things and goes too into theory. He talks very fast too.
55,"I went ridiculously overboard when I took the class. I’d do all the hw for the next exam the weekend after the previous one, and do two full past exams a day from there on out. 

That amount of effort was ridiculous and mostly redundant. Don’t do that. Approach exam 1 like a hard high school math exam and then tweak your studying up or down depending on how you score. 

Keep in mind that the vast majority of people only look at past exams in the 48h leading up to the exam (if my YT analytics are anything to go by) so anything more than \~2 days of dedicated studying should put you ahead of the curve."
56,What makes him a bad professor?
57,Kauffman is AWFUL do not take him if possible.
58,"ok, thanks! for the quizzes/exams, did you have to take them during recitation? or could you take them at any tune throughout the day? we have 2 recitations in a week, so would that mean 2 quizzes a week? and also, for proctors you obviously can’t pick your sibling or someone to proctor you right? 😅"
59,"I took MA 261 online last summer and remember having only one attempt for each quiz/exam. Quizzes weren’t proctored and for exams you had to select a proctor that was instructor approved, I’m pretty sure they give you examples of what proctors are acceptable."
60,"Depending on your Recitation. This semester, unless you had covid or a related issue then you had to be there to take the paper recitation quiz. Paper quizes are better bc you can get partial credit. Also recitation is a good resource and generally important. Maybe reschedule your class or get a bike."
61,"Yep. If you're a couple minutes late nobody will care, just walk in and sit down quietly. If you're really pressed about it, you can let your TA know you have a class across campus right before but you really don't have to."
62,Take a close look at the grading scheme for the class.  I think they do the same thing as calc 1&2 where grades are assigned based on recitation rank.  Meaning a bad quiz score due to skipping could easily knock your grade down even if you ace the tests.  Try to switch to a different recitation.  I would think there would be dozens of them.
63,"for the spring it was not mandatory but there are quizzes most recitations so if u don’t go, you’ll get a 0 on the quiz…I know people who were confident in there grades and didn’t go to recitations but idk I would probably either change ur schedule or make the run"
64,"I took MA261 online from Oakton  last summer and didn’t have to have a proctor, but that might’ve just been cause of covid so it could’ve changed. Also the class itself is very easy. A few homeworks a week, then a final that just reuses questions from the practice exam. I would definitely recommend."
