,features,difficulty,comment,quality
0,Very good,2,😎awesome,2.0
1,"He was an awesome prof, kept us amused even though the material pretty boring. You need to be able draw or imagine 3d graphs at least understand his, it really helps with integrations you end up doing. Great German accent, I hope he is still teaching, very old",1,😎awesome,1.0
2,"Very good professor. Made a lot of the math more understandable through his pictures, and always simplified everything very well. I'm not sure if he'll still be teaching, though; he must have been over 80 when I had him in Spring '09. was surprised made it to class sometimes like -20 degrees outside.",2,😎awesome,2.0
3,"This guy just rocks... a little hard to read the overhead, but make sure you draw picture.",1,😎awesome,1.0
4,"He was a decent professor. Definitely willing to help his students learn the material if you see him during office hours. Lectures are pretty boring, bring an energy drink.",2,😎awesome,2.0
5,"Oh this dude is a real relic, has strong german accent but still comprehensible. You may want to do some personal studying for one, his lectures put you sleep.",1,😎awesome,2.0
6,"This was undoubtedly the best math professor I have ever had. 261 quite large making attendance optional. However, lectures alone will teach all material. His sense of humor along with his obvious love and understanding material made this my most enjoyable class semester.",2,😎awesome,2.0
7,I had the pleasure of having Neugebauer this semester and above comments are spot-on. A good lecturer if you attend class take notes.,1,😎awesome,2.0
8,"He appears to teach at a snail's pace, but amazingly, come the end of hour, he has covered an entire chapter material. Thick accent not hard follow. Pretty good professor overall.",2,😎awesome,2.0
9,"He sounds like a mad scientist, but his notes are awesomely clear. This man is the reason I passed 261 without problem.",1,😎awesome,1.0
10,No Comments,2,😎awesome,2.0
11,eh .... j-bar plus i-bar ... equals k-bar Very thick accent but great math teacher,1,😎awesome,1.0
12,"He's a good professor and funny sometimes. Often he mixes up numbers in problems, but it is excusable.",2,😎awesome,2.0
13,"Great, thick German accent.",1,😎awesome,1.0
14,"Prof. Zink was once a great instructor but his age caught up to him. He's really caring and knowledgeable guy, it insanely difficult communicate with He often misunderstood students only responded about 1/3 of my emails. didn't give syllabus or know our homework grades. I had learn from the book online resources",1,😖awful,1.0
15,"He's getting up there in age but is still going strong as a great professor. To do well, lectures should definitely be supplemented with homework and occasional textbook reading. Notable quotes: ""That's enough for today, sports fans."" ""Let the wicked of today cease thereunto."" ""If I happen to collapse, bring corpse main office.""",1,😖awful,1.0
16,He's pretty funny and cool. He makes random jokes a lot (eg i is 4?no?i am 4),2,😎awesome,2.0
17,One of the best profs I have ever had.... Came to my wedding years after had him in class... Still makes a point talk me even if he has drive across parking lot...,1,😎awesome,2.0
18,"This guy is the best professor I've had at Purdue. And a great persons as well, with good sense of humor.",2,😎awesome,2.0
19,No Comments,1,😎awesome,1.0
20,"This guy is good. He has been around since John Purdue started the school, however, he still on top of his game.",2,😎awesome,2.0
21,He is the best teacher I have ever had.,1,😎awesome,2.0
22,This guy is excellent! It was worth getting up for an 8:30 am class with him.,2,😎awesome,2.0
23,"thanks, Thanks, THANKS for everything!! BEST always.",2,😎awesome,2.0
24,ina inaina thank you !!,2,😎awesome,2.0
25,Hey Ina!!!!!! thanks for everything. I did enjoyed the class her suggestions helped in all my classes!! keep rocking Ina!!.,2,😎awesome,2.0
26,"I agree to all the comments given Ina. She will keep you on your toes. :) :( But we need instructor like 'Ina', who are passionate about what they do and it well. Ina love you.",2,😎awesome,2.0
27,"she is hard, fun, knowledgeable, excited about what does, made me love 2D. ya i agree you will be working. good sense of humor, different :)",1,😐average,2.0
28,GREAT!! LOVE IT....you do have to work hard!!,2,😐average,2.0
29,GREAT!! LOVE IT....you do have to work hard!!,2,😎awesome,2.0
30,She is really helpful and tries her level best to give individual attention students during the class. maintains a professional relationship with students. has sense of humor; she works hard puts lot energy in teaching. Overall class rewarding worth taking. I hope things are going well for you.,2,😎awesome,2.0
31,"Come to class prepared, Ina is going keep you very busy. She a firm but fair grader, will learn alot from her...I know I did. puts of herself into class, I'd like have put more myself her class. makes it hard not enjoy experience in art. inserts timely encouragement help rise the occassion.",2,😎awesome,2.0
32,Dr. Chang was the best professor I have had at Purdue. Yes his class boring sometimes but that's okay because he is really nice and wants you to succeed in class. If go extra study session tells all of homework answers if previous exams some questions are exact same. An A attainable with hard work.,2,😎awesome,2.0
33,"Dr. Chang was an amazing teacher to have. 241 is notoriously a hard class and definitely lived up that expectation, but I really think genuinely wants his students succeed.",2,😎awesome,2.0
34,"Dr. Chang does a great job communicating with students when he is available for extra help outside of class. He very knowledgeable, but sometimes the lectures aren't as organized they could be. It definitely possible to get an A if you attend and seek",2,😎awesome,2.0
35,"Dr. Chang is an excellent professor. Lectures are well explained, but he moves on quickly so pay attention in class! Luckily, uploads all of his lectures boilercast. I never went to lecture person, always watched the boilercasts. Watch each or you wont pass! Koofers and CourseHero great resources for practice tests quizzes.",2,😎awesome,2.0
36,"Like other reviewers have said, he is a great professor who genuinely cares that students understand the material. Definitely go to his evening homework help sessions and practice with past exams. His exams frequently test you on smallest details but everything covered in lectures which are Boilercast",2,😎awesome,2.0
37,"Dr. Chang was wonderful. Super helpful and kind. You can tell that he enjoys cares about teaching. I didn't love the material but helped not make it a drag. The only difficulty is 25% of lecture would constitute 75% exams. It sometimes be difficult to what important in lectures. Overall, quality professor.",2,😎awesome,2.0
38,Lectures are recorded on Boilercast and he gives solutions to the homework problems at his evening help sessions. Exams very similar previous exams so practicing past is super beneficial. Chang cares a lot about students provides plenty of resources for pass. He also won Murphy award semester I had him!,2,😎awesome,2.0
39,"Chang boilercasts and records/posts EVERYTHING. He also puts PPT slides up in advanced. holds help sessions for the HW 2 nights each week. GO TO THEM. frequently adds humor fun stories to his lectures , which keeps them entertaining say least. moves quickly through content. You will need know tiny details exams.",2,😎awesome,2.0
40,"Professor Chang is really helpful. You'll need to go some of his lectures (that he specifies are important). I got an A by going early evening help sessions in which basically shows you how do the homework problems. Boilercast available with videos. For exams- did lecture notes, power points and past exams Goodluck",2,😎awesome,2.0
41,One of the best professors in bio department,1,😎awesome,2.0
42,Professor Chang is an amazing professor. He cares about students' learning and he helping. available outside of class holds review sessions where does the homework for you so go to those. Amazing professor! Take it!,2,😎awesome,2.0
43,Seriously one of the best professors I have ever had. You definitely to work very hard in this class. Re-listen every lecture online. Attend weekly help session because they are what got me an A. He goes through homework problem and will explain anything you want. If get know him well he bump up end.,2,😎awesome,2.0
44,Prof. Chang is one of the best professors at Purdue. His class extremely difficult but if you put in effort it possible to do well. The help sessions are awesome! You will learn so much from this class.,2,😎awesome,2.0
45,"Great intro genetics course. Goes fast and covers a lot of material, but he explains things pretty well. Most lectures are fun. genuinely nice helpful professor I've had at Purdue. If you need help, will get it. Also basically helps do the homework if go to review sessions. Class is still hard though.",2,😎awesome,2.0
46,"Very easy class compared to his genetics course. You are assigned a paper, which you must present about and write summary. Rest of grade is attendance.",2,😎awesome,2.0
47,Prof. Chang is really nice and he cares students. He always there to answer your questions. His help session explain problems clearly.,2,😎awesome,2.0
48,"Dr. Chang runs a difficult course but it's valuable learning experience. Tests are and grading criteria is vague. Made reading the textbook, going to office hours, dissecting lecture notes all necessary. Office hours great shows care for students.",2,😎awesome,2.0
49,"Dr. Chang is easily my favorite professor at Purdue. He really cares about his students and he's actually a nice guy. With that said, class pretty difficult but if you are willing to put in the effort, will have no problem getting grade deserve.",2,😎awesome,2.0
50,Dr. Chang is my favorite professor at Purdue!! His class was pretty difficult but if you pay attention in and attend office hours/help sessions when need to you'll be fine.,2,😎awesome,2.0
51,"Chang is my favorite professor at Purdue. The class difficult and confusing times, but seriously go to his review sessions offive hours. He the nicest man you'll ever meet he will do anything make sure you understand material!",2,😎awesome,2.0
52,"He is so good. There are no easy answers. will get you to work hard and with through the semester. Always there a smile his inspiration. Most important, he lives inspiring things teaches. Lots of experience campaigns hands-on communication.",2,😎awesome,2.0
53,amazingly useful class!,2,😎awesome,2.0
54,"Best class. I am 10 years out and was just remembering Dr. Dutta. His class taught me things that still use, you can't say about many classes.",2,😎awesome,2.0
55,Lots of Hands-on learning in this class. All tied to theory.,2,😎awesome,2.0
56,"He showed how theory is so important. I am working now and often think about many of the concepts he taught me. definitely someone who left most impression on me during my life at Purdue. wish Purdue could get more professors with his passion, caring, intelligence.",2,😎awesome,2.0
57,"What an inspiration! He changed my world. Such a combination of humility, courage and intellect is rare among university professors. inspired me who I am as person.",2,😎awesome,2.0
58,"He is smarter than I had imagined coming in. Genuine and caring. Very humble. later found that he even has a ""fan club!""",2,😎awesome,2.0
59,Dutta is the best! His lectures are worth attending and taking notes on. He's a bit liberal but he does present both sides of most arguments. He was incredibly helpful in assisting me figuring out what I wanted to do Communications. offered write letter recommendation if needed.,1,😎awesome,1.0
60,"Wow...What a class! Changed my world. And I asked him for letter, and he gladly did it! Gave me tips guidance about comm.",2,😎awesome,2.0
61,opened my mind about things I never thought about.,2,😎awesome,2.0
62,"He inspied me to think about what I was going do after graduated, and guided through the whole proces.",2,😎awesome,2.0
